✅ 使用阿里云百炼（通义千问）API
✅ AI 客户端初始化成功 - 提供商: DashScope

==================================================
🚀 视频播放器后端服务已启动
==================================================
📡 服务地址: http://localhost:3000
🤖 AI 提供商: DashScope
📝 API 文档:
   - GET  /api/health              健康检查
   - GET  /api/moments             获取动态列表
   - POST /api/moments             发布新动态
   - POST /api/moments/:id/like    点赞/取消点赞
   - POST /api/moments/:id/comments 发表评论
==================================================

✅ 初始数据已加载
2025-11-24T03:41:17.350Z - GET /api/moments
2025-11-24T03:41:22.350Z - GET /api/moments
2025-11-24T03:41:24.851Z - GET /api/moments
2025-11-24T03:41:27.350Z - GET /api/moments
2025-11-24T03:41:32.350Z - GET /api/moments
2025-11-24T03:41:37.349Z - GET /api/moments
2025-11-24T03:41:42.350Z - GET /api/moments
2025-11-24T03:41:47.350Z - GET /api/moments
2025-11-24T03:41:52.350Z - GET /api/moments
2025-11-24T03:41:57.350Z - GET /api/moments
2025-11-24T03:42:02.350Z - GET /api/moments
2025-11-24T03:42:07.350Z - GET /api/moments
2025-11-24T03:42:12.350Z - GET /api/moments
2025-11-24T03:42:17.350Z - GET /api/moments
2025-11-24T03:42:22.349Z - GET /api/moments
2025-11-24T03:42:24.850Z - GET /api/moments
2025-11-24T03:42:27.350Z - GET /api/moments
2025-11-24T03:42:32.350Z - GET /api/moments
2025-11-24T03:42:37.357Z - GET /api/moments
2025-11-24T03:42:42.349Z - GET /api/moments
2025-11-24T03:42:47.350Z - GET /api/moments
2025-11-24T03:42:52.350Z - GET /api/moments
2025-11-24T03:42:57.350Z - GET /api/moments
2025-11-24T03:43:02.350Z - GET /api/moments
2025-11-24T03:43:07.350Z - GET /api/moments
2025-11-24T03:43:12.350Z - GET /api/moments
2025-11-24T03:43:17.350Z - GET /api/moments
2025-11-24T03:43:22.350Z - GET /api/moments
2025-11-24T03:43:24.851Z - GET /api/moments
2025-11-24T03:43:27.350Z - GET /api/moments
2025-11-24T03:43:32.349Z - GET /api/moments
2025-11-24T03:43:37.350Z - GET /api/moments
2025-11-24T03:43:42.350Z - GET /api/moments
2025-11-24T03:43:47.349Z - GET /api/moments
2025-11-24T03:43:52.350Z - GET /api/moments
2025-11-24T03:43:57.350Z - GET /api/moments
2025-11-24T03:44:02.350Z - GET /api/moments
2025-11-24T03:44:07.350Z - GET /api/moments
2025-11-24T03:44:12.350Z - GET /api/moments
2025-11-24T03:44:17.350Z - GET /api/moments
2025-11-24T03:44:22.350Z - GET /api/moments
2025-11-24T03:44:24.851Z - GET /api/moments
2025-11-24T03:44:27.349Z - GET /api/moments
2025-11-24T03:44:32.349Z - GET /api/moments
2025-11-24T03:44:37.350Z - GET /api/moments
2025-11-24T03:44:42.350Z - GET /api/moments
2025-11-24T03:44:47.350Z - GET /api/moments
2025-11-24T03:44:52.350Z - GET /api/moments
2025-11-24T03:44:57.350Z - GET /api/moments
2025-11-24T03:45:02.350Z - GET /api/moments
2025-11-24T03:45:07.350Z - GET /api/moments
2025-11-24T03:45:12.350Z - GET /api/moments
2025-11-24T03:45:17.350Z - GET /api/moments
2025-11-24T03:45:22.350Z - GET /api/moments
2025-11-24T03:45:24.850Z - GET /api/moments
2025-11-24T03:45:27.350Z - GET /api/moments
2025-11-24T03:45:32.349Z - GET /api/moments
2025-11-24T03:45:37.350Z - GET /api/moments
2025-11-24T03:45:42.349Z - GET /api/moments
2025-11-24T03:45:47.350Z - GET /api/moments
2025-11-24T03:45:52.350Z - GET /api/moments
2025-11-24T03:45:57.350Z - GET /api/moments
2025-11-24T03:46:02.350Z - GET /api/moments
2025-11-24T03:46:07.349Z - GET /api/moments
2025-11-24T03:46:12.350Z - GET /api/moments
2025-11-24T03:46:17.350Z - GET /api/moments
2025-11-24T03:46:22.350Z - GET /api/moments
2025-11-24T03:46:24.851Z - GET /api/moments
2025-11-24T03:46:27.350Z - GET /api/moments
2025-11-24T03:46:32.349Z - GET /api/moments
2025-11-24T03:46:37.350Z - GET /api/moments
2025-11-24T03:46:42.350Z - GET /api/moments
2025-11-24T03:46:47.350Z - GET /api/moments
2025-11-24T03:46:52.350Z - GET /api/moments
2025-11-24T03:46:57.350Z - GET /api/moments
2025-11-24T03:47:02.350Z - GET /api/moments
2025-11-24T03:47:07.350Z - GET /api/moments
2025-11-24T03:47:12.350Z - GET /api/moments
2025-11-24T03:47:17.349Z - GET /api/moments
2025-11-24T03:47:22.349Z - GET /api/moments
2025-11-24T03:47:24.851Z - GET /api/moments
2025-11-24T03:47:27.350Z - GET /api/moments
2025-11-24T03:47:32.349Z - GET /api/moments
2025-11-24T03:47:37.350Z - GET /api/moments
2025-11-24T03:47:42.350Z - GET /api/moments
2025-11-24T03:47:47.350Z - GET /api/moments
2025-11-24T03:47:52.350Z - GET /api/moments
2025-11-24T03:47:57.350Z - GET /api/moments
2025-11-24T03:48:02.350Z - GET /api/moments
2025-11-24T03:48:07.350Z - GET /api/moments
2025-11-24T03:48:12.350Z - GET /api/moments
2025-11-24T03:48:17.350Z - GET /api/moments
2025-11-24T03:48:22.349Z - GET /api/moments
2025-11-24T03:48:24.851Z - GET /api/moments
2025-11-24T03:48:27.350Z - GET /api/moments
2025-11-24T03:48:32.350Z - GET /api/moments
2025-11-24T03:48:37.350Z - GET /api/moments
2025-11-24T03:48:42.350Z - GET /api/moments
2025-11-24T03:48:47.350Z - GET /api/moments
2025-11-24T03:48:52.350Z - GET /api/moments
2025-11-24T03:48:57.350Z - GET /api/moments
2025-11-24T03:49:02.350Z - GET /api/moments
2025-11-24T03:49:07.350Z - GET /api/moments
2025-11-24T03:49:12.350Z - GET /api/moments
2025-11-24T03:49:17.350Z - GET /api/moments
2025-11-24T03:49:22.350Z - GET /api/moments
2025-11-24T03:49:24.851Z - GET /api/moments
2025-11-24T03:49:27.349Z - GET /api/moments
2025-11-24T03:49:31.313Z - GET /api/moments
2025-11-24T03:49:32.850Z - GET /api/moments
2025-11-24T03:49:35.682Z - GET /api/moments
2025-11-24T03:49:37.850Z - GET /api/moments
2025-11-24T03:49:40.682Z - GET /api/moments
2025-11-24T03:49:42.851Z - GET /api/moments
2025-11-24T03:49:45.682Z - GET /api/moments
2025-11-24T03:49:47.850Z - GET /api/moments
2025-11-24T03:49:50.682Z - GET /api/moments
2025-11-24T03:49:52.851Z - GET /api/moments
2025-11-24T03:49:55.682Z - GET /api/moments
2025-11-24T03:49:57.851Z - GET /api/moments
